Time,Open,Close
2024-02-08 04:34:00,2432.49,2432.49
2024-02-08 04:35:00,2432.49,2432.49
2024-02-08 04:36:00,2430.22,2428.35
2024-02-08 04:37:00,2428.35,2429.72
2024-02-08 04:38:00,2429.7,2429.69
2024-02-08 04:39:00,2427.62,2427.61
2024-02-08 04:40:00,2427.61,2427.61
2024-02-08 04:41:00,2427.61,2427.61
2024-02-08 04:42:00,2427.61,2427.61
2024-02-08 04:43:00,2427.6,2425.03
2024-02-08 04:44:00,2425.03,2425.03
2024-02-08 04:45:00,2425.03,2425.03
2024-02-08 04:46:00,2425.11,2428.81
2024-02-08 04:47:00,2430.35,2430.35
2024-02-08 04:48:00,2430.27,2430.27
2024-02-08 04:49:00,2430.27,2430.27
2024-02-08 04:50:00,2430.44,2430.25
2024-02-08 04:51:00,2429.29,2429.29
2024-02-08 04:52:00,2429.29,2429.29
2024-02-08 04:53:00,2429.29,2429.29
2024-02-08 04:54:00,2429.29,2429.29
2024-02-08 04:55:00,2429.29,2429.29
2024-02-08 04:56:00,2429.24,2429.19
2024-02-08 04:57:00,2429.19,2429.19
2024-02-08 04:58:00,2427.03,2427.02
2024-02-08 04:59:00,2427.67,2427.67
2024-02-08 05:00:00,2427.67,2427.67
2024-02-08 05:01:00,2427.67,2427.67
2024-02-08 05:02:00,2428.12,2428.12
2024-02-08 05:03:00,2427.55,2427.55
2024-02-08 05:04:00,2427.43,2427.42
2024-02-08 05:05:00,2427.42,2427.42
2024-02-08 05:06:00,2427.4,2427.4
2024-02-08 05:07:00,2427.4,2427.4
2024-02-08 05:08:00,2427.4,2427.4
2024-02-08 05:09:00,2427.4,2427.4
2024-02-08 05:10:00,2427.4,2427.4
2024-02-08 05:11:00,2427.4,2427.4
2024-02-08 05:12:00,2427.38,2427.38
2024-02-08 05:13:00,2426.83,2426.68
2024-02-08 05:14:00,2426.65,2426.65
2024-02-08 05:15:00,2426.56,2426.56
2024-02-08 05:16:00,2426.56,2426.56
2024-02-08 05:17:00,2426.56,2426.56
2024-02-08 05:18:00,2426.56,2426.56
2024-02-08 05:19:00,2426.2,2426.07
2024-02-08 05:20:00,2426.74,2426.74
2024-02-08 05:21:00,2426.74,2426.74
2024-02-08 05:22:00,2427.75,2428.32
2024-02-08 05:23:00,2428.32,2428.32
2024-02-08 05:24:00,2428.32,2428.32
2024-02-08 05:25:00,2428.32,2428.32
2024-02-08 05:26:00,2428.32,2428.32
2024-02-08 05:27:00,2428.84,2428.84
2024-02-08 05:28:00,2428.79,2428.79
2024-02-08 05:29:00,2428.79,2428.79
2024-02-08 05:30:00,2428.79,2428.79
2024-02-08 05:31:00,2428.79,2428.79
2024-02-08 05:32:00,2428.79,2428.79
2024-02-08 05:33:00,2427.65,2427.65
